,cosine,dates,format_change,sentiment_d,date_delta
A,0.992243411771425,"['2018-12-20', '2017-12-21']",0,0.059398414353946626,3
AA,0.9785970998083146,"['2019-02-26', '2018-02-26']",0,-0.026831767418994904,2
AAL,0.9892262454109171,"['2019-02-25', '2018-02-21']",0,-0.05719462794194913,0
AAME,0.9925120890506746,"['2019-04-01', '2018-03-26']",0,0.12143317799935385,-2
AAN,0.9939724154390036,"['2019-02-14', '2018-03-01']",0,-0.0959902794553393,13
AAOI,0.9818744241120863,"['2019-02-26', '2018-02-28']",0,-0.08354902473862721,4
AAON,0.9787082748508223,"['2019-02-28', '2018-02-27']",0,0.38032186361149395,1
AAP,0.96453405664477,"['2019-02-19', '2018-02-21']",0,0.019193396704108977,4
AAPL,0.9942269822326983,"['2018-11-05', '2017-11-03']",0,0.0465189958985787,2
AAT,0.9988726016680479,"['2019-02-15', '2018-02-16']",0,0.016346215203443253,3
AAWW,0.9942368464611339,"['2019-02-19', '2018-02-22']",0,0.05703919903395163,5
AAXN,0.9226925931292846,"['2019-02-27', '2018-03-01']",0,-0.04233977065874037,4
AB,0.995476202826706,"['2019-02-13', '2018-02-13']",0,-0.07542689400650271,2
ABBV,0.9956931171136268,"['2019-02-27', '2018-02-16']",0,0.03371991558647669,-5
ABC,0.9869842207264212,"['2018-11-20', '2017-11-21']",0,0.09541024692592709,3
ABCB,0.9945960027432774,"['2019-03-01', '2018-03-01']",0,0.07974723616690822,2
ABEO,0.8660780064871644,"['2019-03-18', '2018-03-16']",0,0.010525990056465023,2
ABEOW,0.8660780064871644,"['2019-03-18', '2018-03-16']",0,0.010525990056465023,2
ABG,0.9930701188887109,"['2019-02-28', '2018-02-27']",0,-0.03299106092159348,1
ABIO,0.9910682516782089,"['2019-02-27', '2018-03-22']",0,-0.07683255175783386,19
ABM,0.9838616938319243,"['2018-12-21', '2017-12-22']",0,-0.000689449516530601,3
ABMD,0.9869073596656346,"['2019-05-23', '2018-05-24']",0,0.03084993590231736,3
ABR,0.9947832280127242,"['2019-02-15', '2018-02-23']",0,-0.00875321929243794,8
ABT,0.9949294592655241,"['2019-02-22', '2018-02-16']",0,-0.027147058333830562,-2
ABTX,0.9938603713286929,"['2019-03-11', '2018-03-09']",0,0.019356092331516972,2
ABUS,0.9227016309437354,"['2019-03-07', '2018-03-16']",0,-0.03255390092731474,9
AC,0.9699388666579818,"['2019-03-08', '2018-03-09']",0,-0.04776022440184906,3
ACAD,0.991821165313831,"['2019-02-27', '2018-02-27']",0,0.01709692188963976,2
ACBI,0.987307100115184,"['2019-03-14', '2018-03-15']",0,-0.08018604471670833,3
ACC,0.9965958878224103,"['2019-02-28', '2018-03-01']",0,0.027720922831110408,3
ACCO,0.9919601083589302,"['2019-02-27', '2018-02-28']",0,0.030585343973563047,3
ACER,0.9915695062139954,"['2019-03-07', '2018-03-07']",0,0.056060880677064336,2
ACGL,0.9982037309436446,"['2019-02-28', '2018-02-28']",0,0.04808182903998287,2
ACHC,0.9919735986413037,"['2019-03-01', '2018-02-27']",0,0.18445331435420023,0
ACHN,0.9568272231152197,"['2019-03-07', '2018-02-22']",0,-0.036851229199289154,-7
ACHV,0.8838811951044397,"['2019-03-14', '2018-03-01']",0,-0.02501878581181088,-7
ACIA,0.9918683507487663,"['2019-02-21', '2018-02-22']",0,-0.023387079464071644,3
ACIW,0.9887493665541918,"['2019-03-01', '2018-02-27']",0,0.03950473986039746,0
ACLS,0.9625769165886511,"['2019-03-11', '2018-03-14']",0,0.05037237057128809,5
ACM,0.9929632361213754,"['2018-11-13', '2017-11-14']",0,-0.18823197202302022,3
ACN,0.9822210855016057,"['2018-10-24', '2017-10-26']",0,0.07885103633882108,4
ACNB,0.9961521964631326,"['2019-03-08', '2018-03-09']",0,0.0032084606031852806,3
ACOR,0.9808417461588088,"['2019-02-27', '2018-03-09']",0,0.05736252561548792,10
ACRS,0.9787048632529906,"['2019-03-18', '2018-03-12']",0,0.08167089711837752,-2
ACT,0.9356613255793284,"['2013-02-28', '2012-02-16']",0,0.014476000650148096,-7
ACV,0.9839715762553634,"['2010-11-23', '2009-11-24']",0,-0.17107144558226436,3
ADAP,0.9878124071962326,"['2019-02-27', '2018-03-15']",0,0.04992570277885633,14
ADBE,0.9828117649849594,"['2019-01-25', '2018-01-22']",0,0.047573503492535675,-1
ADC,0.9207384388985757,"['2019-02-21', '2018-02-22']",0,0.09123031122755985,3
ADES,0.9784499346682621,"['2019-03-18', '2018-03-12']",0,0.15448056676064786,-2
ADI,0.9801308739579806,"['2018-11-27', '2017-11-22']",0,-0.013951672370604044,-1
ADM,0.9882452078829251,"['2019-02-19', '2018-02-16']",0,0.06113335343223121,1
ADMA,0.9801294730826964,"['2019-03-13', '2018-03-29']",0,-0.07305790659805578,14
ADMS,0.9923376266295729,"['2019-03-04', '2018-02-22']",0,0.02090939141204128,-4
ADP,0.982617186052603,"['2019-08-09', '2018-08-03']",0,0.11665356898733326,-2
ADRO,0.9800738880284262,"['2019-02-27', '2018-03-01']",0,-0.1055912411744703,4
ADS,0.994660488368609,"['2019-02-26', '2018-02-27']",0,0.045241698212394266,3
ADSK,1.0000000000000027,"['2019-03-25', '2018-03-22']",0,0.0,1
ADSW,0.9946699636737427,"['2019-02-26', '2018-02-28']",0,-0.00961275224077424,4
ADT,0.08310053753201034,"['2019-03-11', '2018-03-15']",1,0.1727844354047287,6
ADUS,0.9806254976147815,"['2019-03-18', '2018-03-14']",0,-0.34582903449690594,0
ADXS,0.9774641414483075,"['2019-01-11', '2017-12-21']",0,-0.04755091993879546,-13
AEE,0.9965700120043746,"['2019-02-26', '2018-02-28']",0,0.06926006576770825,4
AEGN,0.9917900501825696,"['2019-03-01', '2018-03-01']",0,0.05127449046298571,2
AEHR,0.9927985495294901,"['2019-08-28', '2018-08-28']",0,-0.013094088459454985,2
AEIS,0.9907183123918011,"['2019-02-21', '2018-02-15']",0,-0.015389725071035164,-2
AEL,0.9968137619304959,"['2019-02-22', '2018-02-23']",0,-0.028041598405983185,3
AEMD,0.9787352602481424,"['2019-07-01', '2018-06-08']",0,-0.044752599058585744,-13
AEO,0.9882370570624295,"['2019-03-14', '2018-03-16']",0,0.02280718675713427,4
AEP,0.9954245820818503,"['2019-02-21', '2018-02-23']",0,0.0344071676351801,4
AERI,0.9517280320235141,"['2019-03-01', '2018-03-01']",0,0.09787713278531096,2
AES,0.08501436381061361,"['2019-02-27', '2018-02-27']",1,0.0534021400007689,2
AFC,0.9570879524628937,"['2010-02-26', '2009-03-02']",0,0.22642704427909024,4
AFG,0.9969154658719775,"['2019-02-26', '2018-02-23']",0,0.013941646666060986,1
AFGE,0.9969154658719775,"['2019-02-26', '2018-02-23']",0,0.013941646666060986,1
AFH,0.366048679318916,"['2018-04-03', '2017-03-22']",0,0.09533066742758102,-6
AFI,0.9798038724123168,"['2019-03-05', '2018-03-06']",0,0.05332038979014871,3
AFL,0.07765463568077331,"['2019-02-25', '2018-02-23']",1,-0.061994762253429446,2
AGCO,0.9927803696319266,"['2019-03-01', '2018-02-28']",0,-0.14186804286554278,1
AGEN,0.981844910529999,"['2019-03-18', '2018-03-16']",0,0.10919334010353372,2
AGFS,0.09012931968706075,"['2019-03-11', '2018-03-22']",1,0.07449776648263311,11
AGIO,0.0890427000526387,"['2019-02-14', '2018-02-14']",1,-0.05747288327536405,2
AGLE,0.9900235926584879,"['2019-03-07', '2018-03-13']",0,0.06016880910555497,6
AGM,0.9968178545628908,"['2019-02-21', '2018-03-08']",0,0.0033574832072066083,13
AGN,0.9809330598895029,"['2019-02-15', '2018-02-16']",0,0.11741663406067505,3
AGNC,0.9948353583738094,"['2019-02-22', '2018-02-26']",0,0.0682155126527329,4
AGNCB,0.9948353583738094,"['2019-02-22', '2018-02-26']",0,0.0682155126527329,4
AGO,0.9973222498169049,"['2019-03-01', '2018-02-23']",0,-0.007194557396354597,-2
AGR,0.9835270314414513,"['2019-03-01', '2018-03-26']",0,0.09431241236955155,19
AGRX,0.9865107090782829,"['2019-03-12', '2018-03-12']",0,-0.1212960268282969,2
AGS,0.8398275793707517,"['2019-03-05', '2018-03-30']",0,-0.23075717206754093,21
AGTC,0.9836405300247153,"['2019-09-26', '2018-09-11']",0,0.07156094049348476,-9
AGX,0.9790474650510593,"['2019-04-10', '2018-04-11']",0,0.060511606570230574,3
AGYS,0.9802269498063872,"['2019-05-24', '2018-05-25']",0,-0.022421176966965675,3
AHC,0.988352103051457,"['2019-03-14', '2018-03-16']",0,-0.01934037195440773,4
AHH,0.98538117177301,"['2019-02-28', '2018-02-23']",0,0.09679413393948441,-1
AHPI,0.9949796465031339,"['2019-09-27', '2018-09-28']",0,0.09197807487335494,3
AHT,0.9834039421868858,"['2019-03-01', '2018-03-14']",0,-0.029338852772469556,11
AI,0.9830381908287025,"['2019-02-19', '2018-02-16']",0,-0.057655692960854536,1
AIC,0.9400675707339098,"['2006-03-27', '2005-03-31']",0,-0.2672286768048848,6
AIG,0.9972335140530454,"['2019-02-15', '2018-02-16']",0,0.021825371303346833,3
AIMT,0.9881612596042929,"['2019-02-28', '2018-02-20']",0,-0.06999667810821943,-4
AIN,0.9901302472705907,"['2019-03-14', '2018-02-28']",0,-0.027341022439236314,-8
AINV,0.9904820766147399,"['2019-05-16', '2018-05-18']",0,0.05502464092122716,4
AIR,0.9820163756607615,"['2019-07-18', '2018-07-11']",0,0.0461182963454393,-3
AIRG,0.918319040190293,"['2019-03-15', '2018-03-15']",0,-0.06933443865879947,2
AIRT,0.8928277452731015,"['2019-06-28', '2018-06-29']",0,0.1494243094201683,3
AIT,0.9815889263065775,"['2019-08-16', '2018-08-17']",0,0.13283131529982187,3
AIV,0.9939692378763854,"['2019-02-20', '2018-03-01']",0,-0.052461932441660905,9
AIW,0.9830381908287025,"['2019-02-19', '2018-02-16']",0,-0.057655692960854536,1
AIY,0.9904820766147399,"['2019-05-16', '2018-05-18']",0,0.05502464092122716,4
AIZ,1.0000000000000027,"['2019-02-22', '2018-02-14']",0,0.0,-4
AJG,0.9944293676814372,"['2019-02-08', '2018-02-12']",0,0.036389169134014944,4
AJRD,0.9218593735079851,"['2019-02-19', '2018-03-13']",0,0.059909209275392845,18
AJX,0.9948952738710302,"['2019-03-06', '2018-03-08']",0,0.04731097328781723,4
AKAM,0.9875833376706915,"['2019-02-28', '2018-03-01']",0,0.027274520409819415,3
AKBA,0.9516368811000347,"['2019-03-26', '2018-03-12']",0,0.10349392427580467,-8
