,cosine,dates,format_change?,sentiment_d,date_delta
MMM,0.9929773145701232,"['2019-02-07', '2018-02-08']",0,-0.042467473642852194,3
AOS,0.9910456250364875,"['2019-02-15', '2018-02-16']",0,0.0391426506689786,3
ABT,0.9949294592655241,"['2019-02-22', '2018-02-16']",0,-0.027147058333830562,-2
ABBV,0.9956931171136268,"['2019-02-27', '2018-02-16']",0,0.03371991558647669,-5
ACN,0.9822210855016057,"['2018-10-24', '2017-10-26']",0,0.07885103633882108,4
ATVI,0.9906232988501631,"['2019-02-28', '2018-02-27']",0,0.06514514884793038,1
AYI,0.9959347604016849,"['2018-10-25', '2017-10-26']",0,-0.09002847174015288,3
ADBE,0.9828117649849594,"['2019-01-25', '2018-01-22']",0,0.047573503492535675,-1
AAP,0.96453405664477,"['2019-02-19', '2018-02-21']",0,0.019193396704108977,4
AMD,0.9797417801521585,"['2019-02-08', '2018-02-27']",0,-0.07254204442121788,15
AES,0.08501436381061361,"['2019-02-27', '2018-02-27']",1,0.0534021400007689,2
AET,0.9903610491202638,"['2018-02-23', '2017-02-17']",0,-0.06340311373614153,-2
AFL,0.07765463568077331,"['2019-02-25', '2018-02-23']",1,-0.061994762253429446,2
A,0.992243411771425,"['2018-12-20', '2017-12-21']",0,0.059398414353946626,3
APD,0.0890887521524452,"['2018-11-20', '2017-11-16']",1,0.19678474284678685,0
AKAM,0.9875833376706915,"['2019-02-28', '2018-03-01']",0,0.027274520409819415,3
ALK,0.9833890232347929,"['2019-02-15', '2018-02-15']",0,-0.028204164555151644,2
ALB,0.9923670225315786,"['2019-02-27', '2018-02-28']",0,-0.023386154676382404,3
ARE,0.9914838907688303,"['2019-02-05', '2018-01-30']",0,0.016799751643477686,-2
ALXN,0.9856644183960407,"['2019-02-06', '2018-02-08']",0,0.15204745032629347,4
ALGN,0.9840344909889248,"['2019-02-28', '2018-02-28']",0,-0.06339079767054587,2
ALLE,0.9909380888902701,"['2019-02-19', '2018-02-20']",0,0.0435142796076631,3
AGN,0.9809330598895029,"['2019-02-15', '2018-02-16']",0,0.11741663406067505,3
ADS,0.994660488368609,"['2019-02-26', '2018-02-27']",0,0.045241698212394266,3
LNT,0.9929762307404887,"['2019-02-22', '2018-02-23']",0,0.0924452310751806,3
ALL,0.9971871993261499,"['2019-02-15', '2018-02-26']",0,0.027148972110024806,9
AMZN,0.9886891791586562,"['2019-02-01', '2018-02-02']",0,-0.038914220810914675,3
AEE,0.9965700120043746,"['2019-02-26', '2018-02-28']",0,0.06926006576770825,4
AAL,0.9892262454109171,"['2019-02-25', '2018-02-21']",0,-0.05719462794194913,0
AEP,0.9954245820818503,"['2019-02-21', '2018-02-23']",0,0.0344071676351801,4
AXP,0.9835324074775278,"['2019-02-13', '2018-02-16']",0,0.006711548394305403,5
AIG,0.9972335140530454,"['2019-02-15', '2018-02-16']",0,0.021825371303346833,3
AMT,0.9919533220839988,"['2019-02-27', '2018-02-28']",0,0.04711395156401112,3
AWK,0.9878979248054817,"['2019-02-19', '2018-02-20']",0,0.01051273666684661,3
AMP,0.07910931671201088,"['2019-02-27', '2018-02-23']",1,-0.0035968815819156295,0
ABC,0.9869842207264212,"['2018-11-20', '2017-11-21']",0,0.09541024692592709,3
AME,0.9905450367605918,"['2019-02-21', '2018-02-22']",0,0.0454879302475364,3
AMGN,0.990088049964412,"['2019-02-13', '2018-02-13']",0,0.03927025898541329,2
APH,0.9901579728943891,"['2019-02-13', '2018-02-21']",0,-0.0891093796513649,8
APC,0.9810144256166169,"['2019-02-14', '2018-02-15']",0,-0.030953424466885374,3
ADI,0.9801308739579806,"['2018-11-27', '2017-11-22']",0,-0.013951672370604044,-1
ANDV,0.8470541894059416,"['2018-02-21', '2017-02-21']",0,0.2196599015041211,2
ANSS,0.9898155350662455,"['2019-02-28', '2018-02-22']",0,0.037183675741739725,-2
ANTM,0.9936806551984328,"['2019-02-20', '2018-02-21']",0,-0.03940935327239211,3
AON,0.992380118799694,"['2019-02-19', '2018-02-20']",0,0.06154120246837995,3
APA,0.9863667421711387,"['2019-03-01', '2018-02-23']",0,-0.08194027692784686,-2
AIV,0.9939692378763854,"['2019-02-20', '2018-03-01']",0,-0.052461932441660905,9
AAPL,0.9942269822326983,"['2018-11-05', '2017-11-03']",0,0.0465189958985787,2
AMAT,0.9956582727967839,"['2018-12-13', '2017-12-15']",0,-0.011722702265621584,4
APTV,0.9956801502710453,"['2019-02-04', '2018-02-05']",0,0.04291969161750277,3
ADM,0.9882452078829251,"['2019-02-19', '2018-02-16']",0,0.06113335343223121,1
ARNC,0.9877792066198836,"['2019-02-21', '2018-02-26']",0,-0.06180604431735501,5
AJG,0.9944293676814372,"['2019-02-08', '2018-02-12']",0,0.036389169134014944,4
AIZ,1.0000000000000027,"['2019-02-22', '2018-02-14']",0,0.0,-4
T,0.9173549550691671,"['2019-02-20', '2018-02-20']",0,0.03576356760154222,2
ADSK,1.0000000000000027,"['2019-03-25', '2018-03-22']",0,0.0,1
ADP,0.982617186052603,"['2019-08-09', '2018-08-03']",0,0.11665356898733326,-2
AZO,0.9857001071039095,"['2018-10-24', '2017-10-25']",0,-0.03543264809398782,3
AVY,0.9912875391697694,"['2019-02-27', '2018-02-21']",0,0.0960194080010341,-2
BHGE,0.9896157187553489,"['2019-02-19', '2018-02-23']",0,-0.007596118104012392,6
BLL,0.9918638400009545,"['2019-02-22', '2018-03-01']",0,-0.07436188187964769,7
BAC,0.0787381306496147,"['2019-02-26', '2018-02-22']",1,-0.1679537721652555,0
BAX,0.9949368378211664,"['2019-02-21', '2018-02-23']",0,0.10521583917731157,4
BBT,0.9853052441420356,"['2019-02-26', '2018-02-21']",0,-0.03673565981166798,-1
BDX,0.9798652499959362,"['2018-11-21', '2017-11-22']",0,-0.03857249089592708,3
BBY,0.9828862266233391,"['2019-03-28', '2018-04-02']",0,0.05800297598375264,5
BIIB,0.9895127764744126,"['2019-02-06', '2018-02-01']",0,-0.0961460355782503,-1
BLK,0.9939937810113062,"['2019-02-28', '2018-02-28']",0,0.08427407568125583,2
HRB,0.9913210867146581,"['2019-06-14', '2018-06-15']",0,0.0013663974603689035,3
BA,0.0916551185079325,"['2019-02-08', '2018-02-12']",1,0.20179779409333648,4
BKNG,0.9838223983327901,"['2019-02-27', '2018-02-27']",0,0.007907697360345332,2
BXP,0.9949260439650658,"['2019-02-28', '2018-02-28']",0,0.04856945901224667,2
BSX,0.9868638391884471,"['2019-02-19', '2018-02-20']",0,-0.07050394264575408,3
BHF,0.9823125104966354,"['2019-02-26', '2018-03-16']",0,0.013173692489697806,16
BMY,0.9850556770915807,"['2019-02-25', '2018-02-13']",0,-0.06383324681553203,-6
CHRW,0.9822759552420952,"['2019-02-25', '2018-02-28']",0,0.022903483866637802,5
CA,0.9896426788395046,"['2018-05-09', '2017-05-12']",0,0.06326081734513488,5
COG,0.9926119393884594,"['2019-02-26', '2018-03-02']",0,0.16651722033514302,6
CDNS,0.9868872731854285,"['2019-02-27', '2018-02-20']",0,-0.04349220268737218,-3
CPB,0.9660585027009577,"['2019-09-26', '2018-09-27']",0,0.03363281665234191,3
COF,0.08247439934458353,"['2019-02-20', '2018-02-21']",1,-0.056870439423327354,3
CAH,0.9936715413415357,"['2019-08-20', '2018-08-22']",0,-0.11171878311496145,4
KMX,0.994966467353589,"['2019-04-19', '2018-04-24']",0,-0.01906089271322888,5
CCL,0.9805743922870999,"['2019-01-28', '2018-01-29']",0,0.12695781048224425,3
CAT,0.9953592964125005,"['2019-02-14', '2018-02-15']",0,0.011329168202603903,3
CBOE,0.9952193081705718,"['2019-02-22', '2018-02-22']",0,-0.052534437403808004,2
CBRE,0.9882648045656511,"['2019-03-01', '2018-03-01']",0,0.02832526918512385,2
CBS,0.06940490912728557,"['2019-02-15', '2018-02-20']",1,0.6137613412716972,5
CNC,0.9867169492493495,"['2019-02-19', '2018-02-20']",0,-0.02895448411164139,3
CNP,0.9394454402120125,"['2019-02-28', '2018-02-22']",0,-0.226800651300767,-2
CTL,0.9830897238708938,"['2019-03-11', '2018-03-01']",0,0.0019175493198984972,-4
CERN,0.9907518551331251,"['2019-02-08', '2018-02-12']",0,0.004363064317998557,4
CF,0.9924135839467555,"['2019-02-22', '2018-02-22']",0,-0.06705536758896875,2
SCHW,0.9918224415714626,"['2019-02-22', '2018-02-22']",0,-0.05985969111218259,2
CHTR,0.9923916566845521,"['2019-01-31', '2018-02-02']",0,-0.06078528326077323,4
CVX,0.9965268745138671,"['2019-02-22', '2018-02-22']",0,0.6143259765444261,2
CMG,0.9802632456515199,"['2019-02-08', '2018-02-08']",0,0.012107543681619619,2
CB,0.9961100538511016,"['2019-02-28', '2018-02-23']",0,0.013486413133866561,-1
CHD,0.9947645851332731,"['2019-02-21', '2018-02-23']",0,0.007469756726340333,4
XEC,0.9906539986087488,"['2019-02-20', '2018-02-23']",0,0.0019534441027637475,5
CINF,0.9984324513968412,"['2019-02-22', '2018-02-23']",0,-0.021965568696208342,3
CTAS,0.9884250020914537,"['2019-07-26', '2018-07-27']",0,0.03052725641435397,3
CSCO,0.9855008188334167,"['2019-09-05', '2018-09-06']",0,0.07309764221116419,3
C,0.9961514418706531,"['2019-02-22', '2018-02-23']",0,0.0423189165640285,3
CFG,0.3068905097111282,"['2019-02-21', '2018-03-01']",0,0.339041052436254,8
CTXS,0.9901300506671572,"['2019-02-15', '2018-02-16']",0,0.0359993336689282,3
CME,0.9844167460465079,"['2019-02-28', '2018-03-01']",0,0.018826213285483964,3
CMS,0.9951315258045741,"['2019-02-05', '2018-02-14']",0,0.12206953708263099,9
KO,0.9960565771742741,"['2019-02-21', '2018-02-23']",0,0.02014805901733053,4
CTSH,0.9690918446472228,"['2019-02-19', '2018-02-27']",0,0.09897492645058016,8
CL,0.9919530176471348,"['2019-02-21', '2018-02-21']",0,-0.031087488975809537,2
CMCSA,0.9811448026810969,"['2019-01-31', '2018-01-31']",0,-0.06265605146865,2
CMA,0.9946063736129788,"['2019-02-12', '2018-02-15']",0,-0.04861139332921454,5
CAG,0.9829628884184024,"['2019-07-19', '2018-07-20']",0,-0.0927036703365423,3
CXO,0.9909155724994754,"['2019-02-20', '2018-02-21']",0,0.11170568643019814,3
COP,0.9935302869072464,"['2019-02-19', '2018-02-20']",0,-0.0783861193063989,3
ED,0.9950648906007722,"['2019-02-21', '2018-02-15']",0,-0.04693809199825581,-2
STZ,0.9807493018458803,"['2019-04-23', '2018-04-23']",0,0.12227155656066975,2
GLW,0.9916577285199171,"['2019-02-12', '2018-02-15']",0,0.09694551216853298,5
COST,0.9716731125718748,"['2018-10-26', '2017-10-18']",0,-0.06851958655481026,-4
COTY,0.09076389814810505,"['2019-08-28', '2018-08-21']",1,0.2564540668132028,-3
CCI,0.9837790594584868,"['2019-02-25', '2018-02-26']",0,0.5118714012662844,3
CSRA,0.9574979784088422,"['2017-05-25', '2016-05-27']",0,-0.01828296226708162,4
CSX,0.9953131438985616,"['2019-02-06', '2018-02-07']",0,-0.061806829288956165,3
CMI,1.0000000000000027,"['2019-02-11', '2018-02-14']",0,0.0,5
CVS,0.8426679330926578,"['2019-02-28', '2018-02-14']",0,-0.011852822109162435,-8
DHI,0.9851782781687815,"['2018-11-16', '2017-11-15']",0,-0.04867473517542196,1
DHR,0.9932158700233846,"['2019-02-21', '2018-02-21']",0,0.042323043608457345,2
DRI,0.09414351277078073,"['2019-07-19', '2018-07-20']",1,-0.00010418137452709503,3
DVA,0.08465246287820427,"['2019-02-22', '2018-02-23']",1,0.5864516482739789,3
DE,0.9957006250193163,"['2018-12-17', '2017-12-18']",0,0.07717527824929464,3
