,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
MMM,https://www.sec.gov//Archives/edgar/data/66740/000155837019000470/mmm-20181231x10k.htm,https://www.sec.gov//Archives/edgar/data/66740/000155837018000535/mmm-20171231x10k.htm,https://www.sec.gov//Archives/edgar/data/66740/000155837017000479/mmm-20161231x10k.htm,https://www.sec.gov//Archives/edgar/data/66740/000155837016003162/mmm-20151231x10k.htm,https://www.sec.gov//Archives/edgar/data/66740/000110465915009560/a15-1770_110k.htm,https://www.sec.gov//Archives/edgar/data/66740/000110465914009773/a14-5644_110k.htm,https://www.sec.gov//Archives/edgar/data/66740/000110465913010881/a13-1203_110k.htm,https://www.sec.gov//Archives/edgar/data/66740/000110465912010566/a11-31280_110k.htm,https://www.sec.gov//Archives/edgar/data/66740/000110465911007845/a11-2060_110k.htm,https://www.sec.gov//Archives/edgar/data/66740/000110465910007295/a09-35783_110k.htm,,,,,,,,
AOS,https://www.sec.gov//Archives/edgar/data/91142/000119312519042339/d678397d10k.htm,https://www.sec.gov//Archives/edgar/data/91142/000119312518048314/d473899d10k.htm,https://www.sec.gov//Archives/edgar/data/91142/000119312517047795/d280399d10k.htm,https://www.sec.gov//Archives/edgar/data/91142/000119312516467088/d104769d10k.htm,https://www.sec.gov//Archives/edgar/data/91142/000119312515050825/d838160d10k.htm,https://www.sec.gov//Archives/edgar/data/91142/000119312514060153/d644513d10k.htm,https://www.sec.gov//Archives/edgar/data/91142/000119312513080129/d446301d10k.htm,https://www.sec.gov//Archives/edgar/data/91142/000119312512081738/d261210d10k.htm,https://www.sec.gov//Archives/edgar/data/91142/000119312511045134/d10k.htm,,,,,,,,,
ABT,https://www.sec.gov//Archives/edgar/data/1800/000104746919000624/a2237733z10-k.htm,https://www.sec.gov//Archives/edgar/data/1800/000104746918000856/a2234264z10-k.htm,https://www.sec.gov//Archives/edgar/data/1800/000104746917000744/a2230875z10-k.htm,https://www.sec.gov//Archives/edgar/data/1800/000104746916010246/a2227279z10-k.htm,https://www.sec.gov//Archives/edgar/data/1800/000104746915001377/a2222655z10-k.htm,https://www.sec.gov//Archives/edgar/data/1800/000104746914001176/a2218043z10-k.htm,https://www.sec.gov//Archives/edgar/data/1800/000104746913001180/a2212523z10-k.htm,https://www.sec.gov//Archives/edgar/data/1800/000104746912001216/a2207147z10-k.htm,https://www.sec.gov//Archives/edgar/data/1800/000104746911001056/a2201962z10-k.htm,https://www.sec.gov//Archives/edgar/data/1800/000104746910001018/a2196380z10-k.htm,,,,,,,,
ABBV,https://www.sec.gov//Archives/edgar/data/1551152/000155115219000008/abbv-20181231x10k.htm,https://www.sec.gov//Archives/edgar/data/1551152/000155115218000014/abbv-20171231x10k.htm,https://www.sec.gov//Archives/edgar/data/1551152/000155115217000004/abbv-12312016x10k.htm,https://www.sec.gov//Archives/edgar/data/1551152/000104746916010239/a2227341z10-k.htm,https://www.sec.gov//Archives/edgar/data/1551152/000104746915000995/a2223058z10-k.htm,https://www.sec.gov//Archives/edgar/data/1551152/000104746914001154/a2217723z10-k.htm,,,,,,,,,,,,
ACN,https://www.sec.gov//Archives/edgar/data/1467373/000146737318000318/acn831201810k.htm,https://www.sec.gov//Archives/edgar/data/1467373/000146737317000430/acn831201710k.htm,https://www.sec.gov//Archives/edgar/data/1467373/000146737316001080/acn831201610k.htm,https://www.sec.gov//Archives/edgar/data/1467373/000146737315000457/acn831201510k.htm,https://www.sec.gov//Archives/edgar/data/1467373/000146737314000467/acn831201410k.htm,https://www.sec.gov//Archives/edgar/data/1467373/000146737313000482/acn831201310k.htm,https://www.sec.gov//Archives/edgar/data/1467373/000146737312000170/acn831201210k.htm,https://www.sec.gov//Archives/edgar/data/1467373/000119312511277309/d222389d10k.htm,https://www.sec.gov//Archives/edgar/data/1467373/000119312510235847/d10k.htm,,,,,,,,,
ATVI,https://www.sec.gov//Archives/edgar/data/718877/000104746919000788/a2237840z10-k.htm,https://www.sec.gov//Archives/edgar/data/718877/000104746918001114/a2234634z10-k.htm,https://www.sec.gov//Archives/edgar/data/718877/000104746917001072/a2230993z10-k.htm,https://www.sec.gov//Archives/edgar/data/718877/000104746916010584/a2227483z10-k.htm,https://www.sec.gov//Archives/edgar/data/718877/000104746915001298/a2223239z10-k.htm,https://www.sec.gov//Archives/edgar/data/718877/000104746914001688/a2218641z10-k.htm,https://www.sec.gov//Archives/edgar/data/718877/000104746913001828/a2213200z10-ka.htm,https://www.sec.gov//Archives/edgar/data/718877/000104746913001506/a2213119z10-k.htm,https://www.sec.gov//Archives/edgar/data/718877/000104746912001775/a2207405z10-k.htm,https://www.sec.gov//Archives/edgar/data/718877/000104746911001413/a2202068z10-k.htm,https://www.sec.gov//Archives/edgar/data/718877/000104746910001649/a2196314z10-k.htm,,,,,,,
AYI,https://www.sec.gov//Archives/edgar/data/1144215/000114421518000110/ayi-20180831x10k.htm,https://www.sec.gov//Archives/edgar/data/1144215/000114421517000106/ayi-20170831x10k.htm,https://www.sec.gov//Archives/edgar/data/1144215/000114421516000287/ayi-2016831x10k.htm,https://www.sec.gov//Archives/edgar/data/1144215/000114421515000120/ayi-2015831x10k.htm,https://www.sec.gov//Archives/edgar/data/1144215/000114421514000108/ayi-2014831x10k.htm,https://www.sec.gov//Archives/edgar/data/1144215/000114421513000113/ayi-2013831x10k.htm,https://www.sec.gov//Archives/edgar/data/1144215/000114421512000139/ayi-2012831x10k.htm,https://www.sec.gov//Archives/edgar/data/1144215/000114421511000084/ayi-2011831x10k.htm,,,,,,,,,,
ADBE,https://www.sec.gov//Archives/edgar/data/796343/000079634319000019/adbe10kfy18.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634318000015/adbe10kfy17.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634317000031/adbe10kfy16.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634316000224/adbe10kfy15.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634315000022/adbe10kfy14.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634314000004/adbe10kfy13.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634313000008/adbe10kfy12.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634312000003/adbe10kfy11.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634311000003/form_10k.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634310000003/form_10k.htm,,,,,,,,
AAP,https://www.sec.gov//Archives/edgar/data/1158449/000115844919000043/aap_10kx12292018secreport.htm,https://www.sec.gov//Archives/edgar/data/1158449/000115844918000039/aap_10kx12302017.htm,https://www.sec.gov//Archives/edgar/data/1158449/000115844917000034/aap_10kx12312016.htm,https://www.sec.gov//Archives/edgar/data/1158449/000115844916000299/aap_10kx122016.htm,https://www.sec.gov//Archives/edgar/data/1158449/000115844915000063/aap_10kx132015.htm,https://www.sec.gov//Archives/edgar/data/1158449/000115844914000058/aap_10kx12282013.htm,https://www.sec.gov//Archives/edgar/data/1158449/000115844913000069/aap_10kx12292012.htm,https://www.sec.gov//Archives/edgar/data/1158449/000115844912000029/aap_10kx12312011.htm,https://www.sec.gov//Archives/edgar/data/1158449/000115844911000008/aap10k.htm,,,,,,,,,
AMD,https://www.sec.gov//Archives/edgar/data/2488/000000248819000011/amd-12292018x10k.htm,https://www.sec.gov//Archives/edgar/data/2488/000000248818000042/amd-12302017x10k.htm,https://www.sec.gov//Archives/edgar/data/2488/000000248817000043/amd-12312016x10k.htm,https://www.sec.gov//Archives/edgar/data/2488/000000248816000111/amd-12262015x10k.htm,https://www.sec.gov//Archives/edgar/data/2488/000119312515054362/d871455d10k.htm,https://www.sec.gov//Archives/edgar/data/2488/000119312514057240/d674550d10k.htm,https://www.sec.gov//Archives/edgar/data/2488/000119312513069422/d486815d10k.htm,https://www.sec.gov//Archives/edgar/data/2488/000119312512075837/d257108d10k.htm,https://www.sec.gov//Archives/edgar/data/2488/000119312511040392/d10k.htm,,,,,,,,,
