,cosine,dates,format_change,sentiment_d,date_delta
PIH,0.9502854241366882,"['2019-03-20', '2018-03-26']",0,-0.029474226112962965,6
TURN,0.9947404331286123,"['2017-03-15', '2016-03-15']",0,-0.07002395222844596,2
FLWS,0.9814703115011593,"['2019-09-13', '2018-09-14']",0,0.007310047050655508,3
FCCY,0.07301584669773148,"['2019-03-15', '2018-03-19']",1,-0.03141238563573872,4
SRCE,0.9969201167851923,"['2019-02-22', '2018-02-16']",0,-0.013809198810514003,-2
TWOU,0.9879062420950526,"['2019-02-26', '2018-02-27']",0,0.035950546657032255,3
EGHT,0.9733824835398781,"['2019-05-21', '2018-05-30']",0,-0.02006437178326886,9
AAON,0.9787082748508223,"['2019-02-28', '2018-02-27']",0,0.38032186361149395,1
ABEO,0.8660780064871644,"['2019-03-18', '2018-03-16']",0,0.010525990056465023,2
ABEOW,0.8660780064871644,"['2019-03-18', '2018-03-16']",0,0.010525990056465023,2
ABMD,0.9869073596656346,"['2019-05-23', '2018-05-24']",0,0.03084993590231736,3
AXAS,0.9943151087869955,"['2019-03-15', '2018-03-16']",0,0.04658999426730321,3
ACIA,0.9918683507487663,"['2019-02-21', '2018-02-22']",0,-0.023387079464071644,3
ACHC,0.9919735986413037,"['2019-03-01', '2018-02-27']",0,0.18445331435420023,0
ACAD,0.991821165313831,"['2019-02-27', '2018-02-27']",0,0.01709692188963976,2
AXDX,0.9732997564184467,"['2019-03-01', '2018-03-01']",0,-0.05343288318299152,2
XLRN,0.9913976548517316,"['2019-02-27', '2018-02-27']",0,0.029333480304046543,2
ARAY,0.9934394240854417,"['2019-08-23', '2018-08-24']",0,-0.013390835778580164,3
ACER,0.9915695062139954,"['2019-03-07', '2018-03-07']",0,0.056060880677064336,2
ACHV,0.8838811951044397,"['2019-03-14', '2018-03-01']",0,-0.02501878581181088,-7
ACHN,0.9568272231152197,"['2019-03-07', '2018-02-22']",0,-0.036851229199289154,-7
ACIW,0.9887493665541918,"['2019-03-01', '2018-02-27']",0,0.03950473986039746,0
ACRS,0.9787048632529906,"['2019-03-18', '2018-03-12']",0,0.08167089711837752,-2
ACNB,0.9961521964631326,"['2019-03-08', '2018-03-09']",0,0.0032084606031852806,3
ACOR,0.9808417461588088,"['2019-02-27', '2018-03-09']",0,0.05736252561548792,10
ATVI,0.9906232988501631,"['2019-02-28', '2018-02-27']",0,0.06514514884793038,1
ADMS,0.9923376266295729,"['2019-03-04', '2018-02-22']",0,0.02090939141204128,-4
ADAP,0.9878124071962326,"['2019-02-27', '2018-03-15']",0,0.04992570277885633,14
ADUS,0.9806254976147815,"['2019-03-18', '2018-03-14']",0,-0.34582903449690594,0
IOTS,0.9405963410349807,"['2019-03-18', '2018-03-13']",0,0.1874307717534401,-1
ADMA,0.9801294730826964,"['2019-03-13', '2018-03-29']",0,-0.07305790659805578,14
ADBE,0.9828117649849594,"['2019-01-25', '2018-01-22']",0,0.047573503492535675,-1
ADRO,0.9800738880284262,"['2019-02-27', '2018-03-01']",0,-0.1055912411744703,4
ADES,0.9784499346682621,"['2019-03-18', '2018-03-12']",0,0.15448056676064786,-2
AEIS,0.9907183123918011,"['2019-02-21', '2018-02-15']",0,-0.015389725071035164,-2
AMD,0.9797417801521585,"['2019-02-08', '2018-02-27']",0,-0.07254204442121788,15
ADXS,0.9774641414483075,"['2019-01-11', '2017-12-21']",0,-0.04755091993879546,-13
ACT,0.9356613255793284,"['2013-02-28', '2012-02-16']",0,0.014476000650148096,-7
AEGN,0.9917900501825696,"['2019-03-01', '2018-03-01']",0,0.05127449046298571,2
AGLE,0.9900235926584879,"['2019-03-07', '2018-03-13']",0,0.06016880910555497,6
AEHR,0.9927985495294901,"['2019-08-28', '2018-08-28']",0,-0.013094088459454985,2
AMTX,0.5287579470661317,"['2019-03-15', '2018-04-20']",0,-0.5034833159818559,28
AERI,0.9517280320235141,"['2019-03-01', '2018-03-01']",0,0.09787713278531096,2
AVAV,0.9874415024680506,"['2019-06-26', '2018-06-27']",0,-0.04640948771268054,3
AEMD,0.9787352602481424,"['2019-07-01', '2018-06-08']",0,-0.044752599058585744,-13
GNMX,0.9773163073889519,"['2019-03-29', '2018-03-13']",0,-0.06486580181536818,-10
AGEN,0.981844910529999,"['2019-03-18', '2018-03-16']",0,0.10919334010353372,2
AGRX,0.9865107090782829,"['2019-03-12', '2018-03-12']",0,-0.1212960268282969,2
AGYS,0.9802269498063872,"['2019-05-24', '2018-05-25']",0,-0.022421176966965675,3
AGIO,0.0890427000526387,"['2019-02-14', '2018-02-14']",1,-0.05747288327536405,2
AGNC,0.9948353583738094,"['2019-02-22', '2018-02-26']",0,0.0682155126527329,4
AGNCB,0.9948353583738094,"['2019-02-22', '2018-02-26']",0,0.0682155126527329,4
AGFS,0.09012931968706075,"['2019-03-11', '2018-03-22']",1,0.07449776648263311,11
AIMT,0.9881612596042929,"['2019-02-28', '2018-02-20']",0,-0.06999667810821943,-4
AIRT,0.8928277452731015,"['2019-06-28', '2018-06-29']",0,0.1494243094201683,3
AIRG,0.918319040190293,"['2019-03-15', '2018-03-15']",0,-0.06933443865879947,2
AKAM,0.9875833376706915,"['2019-02-28', '2018-03-01']",0,0.027274520409819415,3
AKTX,0.8681811232779442,"['2016-03-23', '2015-02-11']",0,0.09380843107726383,-27
AKCA,0.9177570005547707,"['2019-03-01', '2018-02-28']",0,-0.0629603946584686,1
AKBA,0.9516368811000347,"['2019-03-26', '2018-03-12']",0,0.10349392427580467,-8
AKRX,0.9328047088005146,"['2019-03-01', '2018-02-28']",0,0.3240641120677325,1
ALRM,0.9915305385697356,"['2019-03-01', '2018-02-28']",0,0.0922431720385448,1
ALBO,0.9764172089443575,"['2019-03-06', '2018-03-27']",0,0.015533463672799185,17
ALDR,0.9772640995819568,"['2019-02-25', '2018-02-26']",0,0.10682304733490189,3
ALDX,0.9810613635669639,"['2019-03-08', '2018-03-29']",0,-0.03313376236690231,17
ALXN,0.9856644183960407,"['2019-02-06', '2018-02-08']",0,0.15204745032629347,4
ALGN,0.9840344909889248,"['2019-02-28', '2018-02-28']",0,-0.06339079767054587,2
ALIM,0.9786107882406193,"['2019-02-25', '2018-03-02']",0,0.031924388845831105,7
ALKS,0.9892138061576106,"['2019-02-15', '2018-02-16']",0,-0.14172444323277017,3
ABTX,0.9938603713286929,"['2019-03-11', '2018-03-09']",0,0.019356092331516972,2
ALNA,0.9641423531131776,"['2019-03-07', '2018-03-27']",0,0.002365616875690382,16
ARLP,0.9838805524948835,"['2019-02-22', '2018-02-23']",0,-0.056698013988141185,3
LNT,0.9929762307404887,"['2019-02-22', '2018-02-23']",0,0.0924452310751806,3
AHPI,0.9949796465031339,"['2019-09-27', '2018-09-28']",0,0.09197807487335494,3
AMOT,0.9835642753017964,"['2019-03-13', '2018-03-14']",0,-0.011750821956018861,3
MDRX,0.9724828960119708,"['2019-02-22', '2018-02-26']",0,0.005817000356075024,4
ALNY,0.9666462641782437,"['2019-02-14', '2018-02-15']",0,-0.02705077211279199,3
AOSL,0.9948010258788775,"['2019-08-23', '2018-08-23']",0,0.038297539160727305,2
ATEC,0.980297878463945,"['2019-03-29', '2018-03-09']",0,0.11041558089132474,-12
ALPN,0.9640527723407065,"['2019-03-18', '2018-03-28']",0,-0.1654195816728367,10
ALTR,0.9849436113368422,"['2019-03-01', '2018-03-21']",0,0.024923273782162064,16
ALT,0.583767874482762,"['2019-04-01', '2018-04-30']",0,3.732435907232975,23
ASPS,0.9784868248839657,"['2019-02-26', '2018-02-22']",0,-0.09302578481000079,0
AMAG,0.9668508833808533,"['2019-03-01', '2018-03-01']",0,-0.12191231448312666,2
AMRK,0.986569448963847,"['2019-09-16', '2018-09-19']",0,0.0373374635709127,5
AMZN,0.9886891791586562,"['2019-02-01', '2018-02-02']",0,-0.038914220810914675,3
AMBC,0.9944178914712687,"['2019-02-28', '2018-02-28']",0,0.003918829508786008,2
AMBCW,0.9944178914712687,"['2019-02-28', '2018-02-28']",0,0.003918829508786008,2
AMBA,0.9915420997424644,"['2019-03-29', '2018-03-30']",0,0.03078805815113693,3
AMCX,0.9916505325781773,"['2019-03-01', '2018-03-01']",0,0.0469144108958021,2
