,cosine,dates,format_change,sentiment_d,date_delta
DDD,0.9790015556539691,"['2019-02-28', '2018-03-14']",0,-0.0517629438238048,12
MMM,0.9929773145701232,"['2019-02-07', '2018-02-08']",0,-0.042467473642852194,3
EGHT,0.9733824835398781,"['2019-05-21', '2018-05-30']",0,-0.02006437178326886,9
AHC,0.988352103051457,"['2019-03-14', '2018-03-16']",0,-0.01934037195440773,4
AOS,0.9910456250364875,"['2019-02-15', '2018-02-16']",0,0.0391426506689786,3
AIR,0.9820163756607615,"['2019-07-18', '2018-07-11']",0,0.0461182963454393,-3
AAN,0.9939724154390036,"['2019-02-14', '2018-03-01']",0,-0.0959902794553393,13
ABT,0.9949294592655241,"['2019-02-22', '2018-02-16']",0,-0.027147058333830562,-2
ABBV,0.9956931171136268,"['2019-02-27', '2018-02-16']",0,0.03371991558647669,-5
ANF,0.9907528718389621,"['2019-04-01', '2018-04-02']",0,0.0606426582000153,3
ABM,0.9838616938319243,"['2018-12-21', '2017-12-22']",0,-0.000689449516530601,3
AKR,0.9956145325584188,"['2019-02-19', '2018-02-27']",0,0.08964076639541936,8
ACN,0.9822210855016057,"['2018-10-24', '2017-10-26']",0,0.07885103633882108,4
ACCO,0.9919601083589302,"['2019-02-27', '2018-02-28']",0,0.030585343973563047,3
ATU,0.980849951534347,"['2018-10-29', '2017-10-26']",0,-0.06109134521449695,1
AYI,0.9959347604016849,"['2018-10-25', '2017-10-26']",0,-0.09002847174015288,3
GOLF,0.9953729930495968,"['2019-02-28', '2018-03-07']",0,-0.017134967430880565,7
ADT,0.08310053753201034,"['2019-03-11', '2018-03-15']",1,0.1727844354047287,6
ATGE,0.9736321282229076,"['2019-08-28', '2018-08-24']",0,-0.05595040525559648,0
AAP,0.96453405664477,"['2019-02-19', '2018-02-21']",0,0.019193396704108977,4
ADSW,0.9946699636737427,"['2019-02-26', '2018-02-28']",0,-0.00961275224077424,4
WMS,0.9937171368057008,"['2019-05-30', '2018-05-30']",0,0.035412794076593444,2
ASIX,0.09695918425551653,"['2019-02-22', '2018-02-27']",1,0.3608868473766287,5
ACM,0.9929632361213754,"['2018-11-13', '2017-11-14']",0,-0.18823197202302022,3
HIVE,0.9885192397806488,"['2019-03-01', '2018-02-23']",0,-0.024119367553494316,-2
AJRD,0.9218593735079851,"['2019-02-19', '2018-03-13']",0,0.059909209275392845,18
AFL,0.07765463568077331,"['2019-02-25', '2018-02-23']",1,-0.061994762253429446,2
MITT,0.9872119158805662,"['2019-02-27', '2018-02-28']",0,0.0019663131977365835,3
AGCO,0.9927803696319266,"['2019-03-01', '2018-02-28']",0,-0.14186804286554278,1
A,0.992243411771425,"['2018-12-20', '2017-12-21']",0,0.059398414353946626,3
ADC,0.9207384388985757,"['2019-02-21', '2018-02-22']",0,0.09123031122755985,3
AL,0.991682022357766,"['2019-02-21', '2018-02-22']",0,-0.019104661783349484,3
APD,0.0890887521524452,"['2018-11-20', '2017-11-16']",1,0.19678474284678685,0
AYR,0.06756987213016596,"['2019-02-12', '2018-02-13']",1,0.3452786112075039,3
AKS,1.0000000000000027,"['2019-02-15', '2018-02-15']",0,0.0,2
ALG,0.09132576808133755,"['2019-03-01', '2018-03-01']",1,0.12239083994870605,2
ALK,0.9833890232347929,"['2019-02-15', '2018-02-15']",0,-0.028204164555151644,2
AIN,0.9901302472705907,"['2019-03-14', '2018-02-28']",0,-0.027341022439236314,-8
ALB,0.9923670225315786,"['2019-02-27', '2018-02-28']",0,-0.023386154676382404,3
AA,0.9785970998083146,"['2019-02-26', '2018-02-26']",0,-0.026831767418994904,2
ALEX,0.9861074314095019,"['2019-02-28', '2018-03-01']",0,0.08025878121554478,3
ALX,0.9891794339398958,"['2019-02-11', '2018-02-12']",0,0.07253380349472162,3
ARE,0.9914838907688303,"['2019-02-05', '2018-01-30']",0,0.016799751643477686,-2
Y,0.9928987706986662,"['2019-02-20', '2018-02-21']",0,0.06889054207951477,3
ATI,0.9898667648645019,"['2019-02-28', '2018-02-20']",0,0.07908648709261464,-4
ALLE,0.9909380888902701,"['2019-02-19', '2018-02-20']",0,0.0435142796076631,3
AGN,0.9809330598895029,"['2019-02-15', '2018-02-16']",0,0.11741663406067505,3
ALE,0.9941034022371424,"['2019-02-14', '2018-02-15']",0,0.040526651527081674,3
ADS,0.994660488368609,"['2019-02-26', '2018-02-27']",0,0.045241698212394266,3
